dd/mm/y	who	where	what	what-x (Hebrew)	what-y (Hebrew)
2024-11-04 00:00:00	S(A)K	תורה	"Added varika based on a hataph that appeared in the Aleppo Codex, in the following places: Genesis 27:38 ""הַֽבְﬞרָכָ֨ה""; Exodus 7:27 ""בַּֽצְﬞפַרְדְּעִֽים""; Exodus 7:29 ""הַֽצְﬞפַרְדְּעִֽים""; Exodus 8:1 ""אֶת־הַֽצְﬞפַרְדְּעִ֖ים""; Exodus 8:3 ""אֶת־הַֽצְﬞפַרְדְּעִ֖ים""; Exodus 8:4 ""הַֽצְﬞפַרְדְּעִ֔ים""; Exodus 8:5 ""הַֽצְﬞפַרְדְּעִ֔ים""; Exodus 8:7 ""הַֽצְﬞפַרְדְּעִ֗ים"" Exodus 8:8 ""הַֽצְﬞפַרְדְּעִ֖ים""; Exodus 8:9 ""הַֽצְﬞפַרְדְּעִ֔ים"". To be imported via auto-edits."		
2024-10-14 00:00:00	BD	ספר איוב	Apply 1 auto-edit to get fix to Job 32:1.		
2024-10-14 00:00:00	BD	"ספרי אמ""ת"	Applied 823 auto-edits.		
2024-10-13 00:00:00	BD	תהלים	Applied 19 auto-edits. These fixes were to 19 cases (18 tsinnor, 1 dexi) where first and only arg had stress helper.		
2024-10-13 00:00:00	BD	"ספרי אמ""ת"	Applied 1626 auto-edits.		
2024-10-10 00:00:00	BD	תהלים	Applied 546 auto-edits. For Psalms 111 thru 150.  This is just scooting מ:דחי and מ:צינור, not determining stress.		
2024-10-10 00:00:00	BD	ספר איוב	Applied 632 auto-edits. This is just scooting מ:דחי and מ:צינור, not determining stress.		
2024-10-10 00:00:00	BD	"ספרי אמ""ת"	Applied 369 auto-edits. This represents work up to Psalm 110.		
2024-10-09 00:00:00	BD	"ספרי אמ""ת"	Applied 176 auto-edits.		
2024-10-09 00:00:00	BD	"mostly ספרי אמ""ת"	Applied 4014 auto-edits (mostly deḥi template).		
2024-10-08 00:00:00	S(A)K	משלי יא,ג	"Qamaz qatan in ""יְשׇׁדֵּֽם""."		
2024-10-08 00:00:00	S(A)K	"שמ""א כד,י"	"Regular qamaz in ""לַהֲרָגְﬞךָ֖""; changed documentation note. Credit to Ben Denckla."		
2024-10-08 00:00:00	S(A)K	איוב מב,יא	"Added stress helper in ""לֶ֘חֶם֮""."		
2024-09-18 00:00:00	S(A)K	תהלים יח,יב	"Added grey maqaph in ""יָ֤שֶׁת חֹ֨שֶׁךְ ׀""."		
2024-09-18 00:00:00	S(A)K	איוב כב,כח	"Added grey maqaph in ""וְיָ֣קׇם לָ֑ךְ""."		
2024-09-18 00:00:00	BD	מש מגילות	Applied 3 auto-edits.		
2024-09-18 00:00:00	BD	"ספרי אמ""ת"	Applied 38 auto-edits.		
